serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
1,0.76612660899999996,45,2,0.8029821290000001,9120.0,13,0,6,0,2.0,1846.0
0,0.95715101899999999,40,0,0.121876201,2600.0,4,0,0,0,1.0,18000.0
0,0.21317868200000001,74,0,0.37560696900000001,3500.0,3,0,1,0,1.0,2100.0
0,0.11695064400000001,27,0,46.0,0.0,2,0,0,0,0.0,0.0
0,0.54845806200000002,64,0,0.20989175400000001,11362.0,7,0,1,0,2.0,3928.0
0,0.052436094000000003,58,0,0.097672185999999994,8333.0,22,0,1,0,0.0,7600.0
0,0.99999990000000005,24,0,0.47270306299999998,750.0,1,0,0,0,0.0,1400.0
0,0.88183636200000004,50,3,0.56785803499999998,4000.0,9,0,1,0,1.0,8157.0
0,0.36363636399999999,26,0,0.0099900100000000006,1000.0,1,0,0,0,0.0,6000.0
0,0.072897569999999981,81,0,75.0,0.0,7,0,0,0,0.0,0.0
0,0.000602723,70,0,0.17778703600000001,16800.0,12,0,1,0,2.0,5600.0
0,0.061440132000000001,62,0,0.011167837,3133.0,2,0,0,0,0.0,3489.0
0,0.83404802700000003,38,0,0.393662026,13000.0,13,0,2,0,2.0,2770.0
0,0.070853768999999997,55,0,0.073147745,13793.0,4,0,1,0,0.0,10333.0
0,0.401199782,64,0,0.35125893700000005,3216.0,4,0,1,0,0.0,5000.0
0,0.33752070200000001,60,0,0.54987780500000005,4500.0,10,0,2,0,0.0,6250.0
0,0.0067990930000000008,27,1,0.68104575200000006,764.0,3,0,0,0,0.0,760.0
0,0.122295933,29,0,0.69464694900000001,4800.0,5,0,1,0,0.0,4833.0
0,0.18331666699999999,52,0,0.111131623,10833.0,14,0,2,0,1.0,4166.0
0,0.074861676000000002,66,0,0.208842479,4500.0,3,0,1,0,0.0,9430.0
0,0.017258976999999998,53,0,2.6045106730000001,12414.0,13,0,1,0,2.0,2000.0
0,0.029164236,31,0,0.39503180900000001,3300.0,10,0,1,0,0.0,5937.0
0,0.36050963200000002,58,1,3282.0,0.0,8,0,2,0,0.0,0.0
0,0.0037496880000000002,64,0,0.0040612309999999993,3200.0,5,0,0,1,0.0,20000.0
0,0.080564167999999992,60,0,0.48728899700000011,4916.0,15,0,2,0,0.0,9000.0
0,0.023767433000000001,83,0,0.12379773400000001,10500.0,13,0,0,0,0.0,4100.0
0,0.88882223599999999,34,0,0.368403802,3050.0,4,0,0,0,1.0,5583.0
0,0.013024673999999998,61,0,15.0,250.0,4,0,0,0,0.0,250.0
0,0.63448505700000002,52,0,0.138238573,2690.0,2,0,0,0,0.0,35000.0
