team,date,spread,team_score,opponent,opp_score,was_home
Buffalo,1985-12-22,17.5,0,Miami,28,TRUE
Buffalo,1985-12-15,10.5,24,Pittsburgh,30,TRUE
Buffalo,1985-12-08,9,7,N.Y. Jets,27,TRUE
Buffalo,1985-12-01,10,7,San Diego,40,TRUE
Buffalo,1985-11-24,8.5,14,Miami,23,TRUE
Buffalo,1985-11-17,8,7,Baltimore,17,TRUE
Buffalo,1985-11-10,2.5,20,Tennessee,0,TRUE
Buffalo,1985-11-03,3.5,17,Cincinnati,23,TRUE
Buffalo,1985-10-27,9,17,Philadelphia,21,TRUE
Buffalo,1985-10-13,10,3,New England,14,TRUE
Buffalo,1985-10-06,3.5,17,Indianapolis,49,TRUE
Buffalo,1985-09-29,3,20,Minnesota,27,TRUE
Buffalo,1985-09-22,6,14,New England,17,TRUE
Buffalo,1985-09-15,3.5,3,N.Y. Jets,42,TRUE
Buffalo,1985-09-08,5,9,San Diego,14,TRUE
Buffalo,1986-12-21,3.5,7,Tennessee,16,TRUE
Buffalo,1986-12-14,-3.5,14,Indianapolis,24,TRUE
Buffalo,1986-12-07,3,17,Baltimore,21,TRUE
Buffalo,1986-11-30,6.5,17,Kansas City,14,TRUE
Buffalo,1986-11-23,13,19,New England,22,TRUE
Buffalo,1986-11-16,1.5,24,Miami,34,TRUE
Buffalo,1986-11-09,-1,16,Pittsburgh,12,TRUE
Buffalo,1986-10-26,7.5,3,New England,23,TRUE
Buffalo,1986-10-19,-10.5,24,Indianapolis,13,TRUE
Buffalo,1986-10-12,6.5,14,Miami,27,TRUE
Buffalo,1986-10-05,7.5,13,N.Y. Jets,14,TRUE
Buffalo,1986-09-28,-2,17,Kansas City,20,TRUE
Buffalo,1986-09-21,-3.5,17,Arizona,10,TRUE
Buffalo,1986-09-14,6.5,33,Cincinnati,36,TRUE
Buffalo,1986-09-07,6,24,N.Y. Jets,28,TRUE
Buffalo,1987-12-27,2.5,7,Philadelphia,17,TRUE
Buffalo,1987-12-20,-4,7,New England,13,TRUE
Buffalo,1987-12-13,3.5,27,Indianapolis,3,TRUE
Buffalo,1987-12-06,4,21,Oakland,34,TRUE
Buffalo,1987-11-29,1.5,27,Miami,0,TRUE
Buffalo,1987-11-22,3.5,17,N.Y. Jets,14,TRUE
Buffalo,1987-11-15,7.5,21,Baltimore,27,TRUE
Buffalo,1987-11-08,5,21,Denver,14,TRUE
Buffalo,1987-11-01,3.5,7,Washington,27,TRUE
Buffalo,1987-10-25,9,34,Miami,31,TRUE
Buffalo,1987-10-18,3,6,N.Y. Giants,3,TRUE
Buffalo,1987-10-11,10,7,New England,14,TRUE
Buffalo,1987-10-04,2.5,6,Indianapolis,47,TRUE
Buffalo,1987-09-20,-3,34,Tennessee,30,TRUE
Buffalo,1987-09-13,1.5,28,N.Y. Jets,31,TRUE
Buffalo,1989-01-08,5,10,Cincinnati,21,TRUE
Buffalo,1989-01-01,-3.5,17,Tennessee,10,TRUE
Buffalo,1988-12-18,-3,14,Indianapolis,17,TRUE
Buffalo,1988-12-11,-6,37,Oakland,21,TRUE
Buffalo,1988-12-04,-8,5,Tampa Bay,10,TRUE
Buffalo,1988-11-27,3.5,21,Cincinnati,35,TRUE
Buffalo,1988-11-20,-7,9,N.Y. Jets,6,TRUE
Buffalo,1988-11-14,-1,31,Miami,6,TRUE
Buffalo,1988-10-30,-6.5,28,Green Bay,0,TRUE
Buffalo,1988-10-23,-6.5,23,New England,20,TRUE
Buffalo,1988-10-17,2,37,N.Y. Jets,14,TRUE
Buffalo,1988-10-09,-5,34,Indianapolis,23,TRUE
Buffalo,1988-10-02,4,3,Chicago,24,TRUE
Buffalo,1988-09-25,-4,36,Pittsburgh,28,TRUE
Buffalo,1988-09-18,2.5,16,New England,14,TRUE
Buffalo,1988-09-11,-3.5,9,Miami,6,TRUE
Buffalo,1988-09-04,3,13,Minnesota,10,TRUE
Buffalo,1990-01-06,4,30,Baltimore,34,TRUE
Buffalo,1989-12-23,-6.5,37,N.Y. Jets,0,TRUE
Buffalo,1989-12-17,6,10,San Francisco,21,TRUE
Buffalo,1989-12-10,-6.5,19,New Orleans,22,TRUE
Buffalo,1989-12-04,-6,16,Seattle,17,TRUE
Buffalo,1989-11-26,-3,24,Cincinnati,7,TRUE
Buffalo,1989-11-19,-5,24,New England,33,TRUE
Buffalo,1989-11-12,-6.5,30,Indianapolis,7,TRUE
Buffalo,1989-11-05,-3,28,Atlanta,30,TRUE
Buffalo,1989-10-29,-4,31,Miami,17,TRUE
Buffalo,1989-10-22,-7,34,N.Y. Jets,3,TRUE
Buffalo,1989-10-16,3.5,23,St. Louis,20,TRUE
Buffalo,1989-10-01,-7,31,New England,10,TRUE
Buffalo,1989-09-24,-4,47,Tennessee,41,TRUE
Buffalo,1989-09-18,-6.5,14,Denver,28,TRUE
Buffalo,1989-09-10,-4,27,Miami,24,TRUE
Buffalo,1991-01-27,-6.5,19,N.Y. Giants,20,TRUE
Buffalo,1991-01-20,-7,51,Oakland,3,TRUE
Buffalo,1991-01-13,-7,44,Miami,34,TRUE
Buffalo,1990-12-30,5.5,14,Washington,29,TRUE
Buffalo,1990-12-23,-3.5,24,Miami,14,TRUE
Buffalo,1990-12-15,3.5,17,N.Y. Giants,13,TRUE
Buffalo,1990-12-09,-6,31,Indianapolis,7,TRUE
Buffalo,1990-12-02,-3,30,Philadelphia,23,TRUE
Buffalo,1990-11-26,3,24,Tennessee,27,TRUE
Buffalo,1990-11-18,-15,14,New England,0,TRUE
Buffalo,1990-11-11,-12,45,Arizona,14,TRUE
Buffalo,1990-11-04,-3,42,Baltimore,0,TRUE
Buffalo,1990-10-28,-6,27,New England,10,TRUE
Buffalo,1990-10-21,-9,30,N.Y. Jets,27,TRUE
Buffalo,1990-10-07,-3,38,Oakland,24,TRUE
Buffalo,1990-09-30,-2.5,29,Denver,28,TRUE
Buffalo,1990-09-24,-1,30,N.Y. Jets,7,TRUE
Buffalo,1990-09-16,-2,7,Miami,30,TRUE
Buffalo,1990-09-09,-8.5,26,Indianapolis,10,TRUE
Buffalo,1992-01-26,7.5,24,Washington,37,TRUE
Buffalo,1992-01-12,-11,10,Denver,7,TRUE
Buffalo,1992-01-05,-11,37,Kansas City,14,TRUE
Buffalo,1991-12-22,-5,14,Detroit,17,TRUE
Buffalo,1991-12-15,-12,35,Indianapolis,7,TRUE
Buffalo,1991-12-08,-2,30,Oakland,27,TRUE
Buffalo,1991-12-01,-8.5,24,N.Y. Jets,13,TRUE
Buffalo,1991-11-24,-8.5,13,New England,16,TRUE
Buffalo,1991-11-18,-4,41,Miami,27,TRUE
Buffalo,1991-11-10,-7,34,Green Bay,24,TRUE
Buffalo,1991-11-03,-17,22,New England,17,TRUE
Buffalo,1991-10-21,-13.5,35,Cincinnati,16,TRUE
Buffalo,1991-10-13,-20,42,Indianapolis,6,TRUE
Buffalo,1991-10-07,-2.5,6,Kansas City,33,TRUE
Buffalo,1991-09-29,-8.5,35,Chicago,20,TRUE
Buffalo,1991-09-22,-7.5,17,Tampa Bay,10,TRUE
Buffalo,1991-09-15,-9,23,N.Y. Jets,20,TRUE
Buffalo,1991-09-08,-7,52,Pittsburgh,34,TRUE
Buffalo,1991-09-01,-7,35,Miami,31,TRUE
Buffalo,1993-01-31,6,17,Dallas,52,TRUE
Buffalo,1993-01-17,-2.5,29,Miami,10,TRUE
Buffalo,1993-01-09,1,24,Pittsburgh,3,TRUE
Buffalo,1993-01-03,-3,41,Tennessee,38,TRUE
Buffalo,1992-12-27,-3.5,3,Tennessee,27,TRUE
Buffalo,1992-12-20,3.5,20,New Orleans,16,TRUE
Buffalo,1992-12-12,-14,27,Denver,17,TRUE
Buffalo,1992-12-06,-17,17,N.Y. Jets,24,TRUE
Buffalo,1992-11-29,-15.5,13,Indianapolis,16,TRUE
Buffalo,1992-11-22,-13,41,Atlanta,14,TRUE
Buffalo,1992-11-16,-1,26,Miami,20,TRUE
Buffalo,1992-11-08,-6.5,28,Pittsburgh,20,TRUE
Buffalo,1992-11-01,-19,16,New England,7,TRUE
Buffalo,1992-10-26,-8.5,24,N.Y. Jets,20,TRUE
Buffalo,1992-10-11,-7,3,Oakland,20,TRUE
Buffalo,1992-10-04,-11,10,Miami,37,TRUE
Buffalo,1992-09-27,-15.5,41,New England,7,TRUE
Buffalo,1992-09-20,-19.5,38,Indianapolis,0,TRUE
Buffalo,1992-09-13,3.5,34,San Francisco,31,TRUE
Buffalo,1992-09-06,-11,40,St. Louis,7,TRUE
Buffalo,1994-01-30,10.5,13,Dallas,30,TRUE
Buffalo,1994-01-23,-3,30,Kansas City,13,TRUE
Buffalo,1994-01-15,-7,29,Oakland,23,TRUE
Buffalo,1994-01-02,-11,30,Indianapolis,10,TRUE
Buffalo,1993-12-26,-7,16,N.Y. Jets,14,TRUE
Buffalo,1993-12-19,3.5,47,Miami,34,TRUE
Buffalo,1993-12-12,-4,10,Philadelphia,7,TRUE
Buffalo,1993-12-05,-6.5,24,Oakland,25,TRUE
Buffalo,1993-11-28,3,7,Kansas City,23,TRUE
Buffalo,1993-11-21,-13,23,Indianapolis,9,TRUE
Buffalo,1993-11-15,3.5,0,Pittsburgh,23,TRUE
Buffalo,1993-11-07,-9.5,13,New England,10,TRUE
Buffalo,1993-11-01,-9,24,Washington,10,TRUE
Buffalo,1993-10-24,-3,19,N.Y. Jets,10,TRUE
Buffalo,1993-10-11,-3.5,35,Tennessee,7,TRUE
Buffalo,1993-10-03,-6,17,N.Y. Giants,14,TRUE
Buffalo,1993-09-26,-6,13,Miami,22,TRUE
Buffalo,1993-09-12,5,13,Dallas,10,TRUE
Buffalo,1993-09-05,-14,38,New England,14,TRUE
Buffalo,1994-12-24,3,9,Indianapolis,10,TRUE
Buffalo,1994-12-18,-1,17,New England,41,TRUE
Buffalo,1994-12-11,-3.5,17,Minnesota,21,TRUE
Buffalo,1994-12-04,4,42,Miami,31,TRUE
Buffalo,1994-11-24,-1.5,21,Detroit,35,TRUE
Buffalo,1994-11-20,-3,29,Green Bay,20,TRUE
Buffalo,1994-11-14,2,10,Pittsburgh,23,TRUE
Buffalo,1994-11-06,-3,17,N.Y. Jets,22,TRUE
Buffalo,1994-10-30,-2.5,44,Kansas City,10,TRUE
Buffalo,1994-10-16,-9.5,17,Indianapolis,27,TRUE
Buffalo,1994-10-09,-2.5,21,Miami,11,TRUE
Buffalo,1994-10-02,-2,13,Chicago,20,TRUE
Buffalo,1994-09-26,-6.5,27,Denver,20,TRUE
Buffalo,1994-09-18,2.5,15,Tennessee,7,TRUE
Buffalo,1994-09-11,2,38,New England,35,TRUE
Buffalo,1994-09-04,-7,3,N.Y. Jets,23,TRUE
Buffalo,1996-01-06,6.5,21,Pittsburgh,40,TRUE
Buffalo,1995-12-24,-3,17,Tennessee,28,TRUE
Buffalo,1995-12-17,-3.5,23,Miami,20,TRUE
Buffalo,1995-12-10,-3,41,St. Louis,27,TRUE
Buffalo,1995-12-03,14,17,San Francisco,27,TRUE
Buffalo,1995-11-26,-6,25,New England,35,TRUE
Buffalo,1995-11-19,-6.5,28,N.Y. Jets,26,TRUE
Buffalo,1995-11-12,-4,23,Atlanta,17,TRUE
Buffalo,1995-11-05,4,16,Indianapolis,10,TRUE
Buffalo,1995-10-29,7,6,Miami,23,TRUE
Buffalo,1995-10-23,-2,14,New England,27,TRUE
Buffalo,1995-10-15,-7.5,27,Seattle,21,TRUE
Buffalo,1995-10-08,-10.5,29,N.Y. Jets,10,TRUE
Buffalo,1995-10-02,6.5,22,Baltimore,19,TRUE
Buffalo,1995-09-17,-4,20,Indianapolis,14,TRUE
Buffalo,1995-09-10,-9.5,31,Carolina,9,TRUE
Buffalo,1995-09-03,5.5,7,Denver,22,TRUE
Buffalo,1995-12-30,-3.5,37,Miami,22,TRUE
Buffalo,1996-12-28,-8.5,27,Jacksonville,30,TRUE
Buffalo,1996-12-22,-5,20,Kansas City,9,TRUE
Buffalo,1996-12-16,-2.5,14,Miami,16,TRUE
Buffalo,1996-12-08,-4.5,18,Seattle,26,TRUE
Buffalo,1996-12-01,-3,10,Indianapolis,13,TRUE
Buffalo,1996-11-24,-9.5,35,N.Y. Jets,10,TRUE
Buffalo,1996-11-17,-7,31,Cincinnati,17,TRUE
Buffalo,1996-11-10,3.5,24,Philadelphia,17,TRUE
Buffalo,1996-11-03,-3.5,38,Washington,13,TRUE
Buffalo,1996-10-27,4,25,New England,28,TRUE
Buffalo,1996-10-20,-7,25,N.Y. Jets,22,TRUE
Buffalo,1996-10-13,-5.5,7,Miami,21,TRUE
Buffalo,1996-10-06,-2,16,Indianapolis,13,TRUE
Buffalo,1996-09-22,7,10,Dallas,7,TRUE
Buffalo,1996-09-16,3,6,Pittsburgh,24,TRUE
Buffalo,1996-09-08,-4.5,17,New England,10,TRUE
Buffalo,1996-09-01,-6.5,23,N.Y. Giants,20,TRUE
Buffalo,1996-08-23,-3,14,Baltimore,37,TRUE
Buffalo,1996-08-17,3.5,24,Carolina,0,TRUE
Buffalo,1996-08-08,5,35,Minnesota,12,TRUE
Buffalo,1997-12-20,11,21,Green Bay,31,TRUE
Buffalo,1997-12-14,4.5,14,Jacksonville,20,TRUE
Buffalo,1997-12-07,-1,3,Chicago,20,TRUE
Buffalo,1997-11-30,1.5,20,N.Y. Jets,10,TRUE
Buffalo,1997-11-23,3.5,14,Tennessee,31,TRUE
Buffalo,1997-11-17,6,13,Miami,30,TRUE
Buffalo,1997-11-09,3,10,New England,31,TRUE
Buffalo,1997-11-02,-1.5,9,Miami,6,TRUE
Buffalo,1997-10-26,7,20,Denver,23,TRUE
Buffalo,1997-10-20,1.5,9,Indianapolis,6,TRUE
Buffalo,1997-10-12,8,6,New England,33,TRUE
Buffalo,1997-10-05,-4,22,Detroit,13,TRUE
Buffalo,1997-09-21,-7,37,Indianapolis,35,TRUE
Buffalo,1997-09-14,4,16,Kansas City,22,TRUE
Buffalo,1997-09-07,4.5,28,N.Y. Jets,22,TRUE
Buffalo,1997-08-31,-2.5,13,Minnesota,34,TRUE
Buffalo,1997-08-22,6,31,Baltimore,28,TRUE
Buffalo,1997-08-16,6,3,Green Bay,35,TRUE
Buffalo,1997-08-08,-3,19,Minnesota,3,TRUE
Buffalo,1997-08-02,-3,17,Chicago,20,TRUE
Buffalo,1997-07-26,7,10,Denver,31,TRUE
Buffalo,1999-01-02,2.5,17,Miami,24,TRUE
Buffalo,1998-12-27,-2.5,45,New Orleans,33,TRUE
Buffalo,1998-12-19,-2.5,10,N.Y. Jets,17,TRUE
Buffalo,1998-12-13,-8.5,44,Oakland,21,TRUE
Buffalo,1998-12-06,-5.5,33,Cincinnati,20,TRUE
Buffalo,1998-11-29,2,21,New England,25,TRUE
Buffalo,1998-11-22,-7,34,Indianapolis,11,TRUE
Buffalo,1998-11-15,-3,13,New England,10,TRUE
Buffalo,1998-11-08,3.5,12,N.Y. Jets,34,TRUE
Buffalo,1998-11-01,-2.5,30,Miami,24,TRUE
Buffalo,1998-10-25,2,30,Carolina,14,TRUE
Buffalo,1998-10-18,3,17,Jacksonville,16,TRUE
Buffalo,1998-10-11,-3,31,Indianapolis,24,TRUE
Buffalo,1998-10-04,10,26,San Francisco,21,TRUE
Buffalo,1998-09-20,-4.5,33,St. Louis,34,TRUE
Buffalo,1998-09-13,7,7,Miami,13,TRUE
Buffalo,1998-09-06,2,14,San Diego,16,TRUE
Buffalo,1998-08-28,-2.5,27,Washington,17,TRUE
Buffalo,1998-08-21,2,17,Chicago,9,TRUE
Buffalo,1998-08-14,-5.5,7,Carolina,12,TRUE
Buffalo,1998-08-08,5.5,13,Pittsburgh,24,TRUE
Buffalo,2000-01-08,4,16,Tennessee,22,TRUE
Buffalo,2000-01-02,2.5,31,Indianapolis,6,TRUE
Buffalo,1999-12-26,-3,13,New England,10,TRUE
Buffalo,1999-12-19,-3.5,31,Arizona,21,TRUE
Buffalo,1999-12-12,-8,17,N.Y. Giants,19,TRUE
Buffalo,1999-11-28,-4.5,17,New England,7,TRUE
Buffalo,1999-11-21,-2.5,7,N.Y. Jets,17,TRUE
Buffalo,1999-11-14,-3,23,Miami,3,TRUE
Buffalo,1999-11-07,4,34,Washington,17,TRUE
Buffalo,1999-10-31,-3.5,13,Baltimore,10,TRUE
Buffalo,1999-10-24,2.5,16,Seattle,26,TRUE
Buffalo,1999-10-17,-4,14,Oakland,20,TRUE
Buffalo,1999-10-10,-6,24,Pittsburgh,21,TRUE
Buffalo,1999-10-04,6,23,Miami,18,TRUE
Buffalo,1999-09-26,-12,26,Philadelphia,0,TRUE
