team,year,player,contract_years_remaining,contract_thru,position,full_name,salary_year,salary_total,year_counter,obs,mean_salary,mean_remaining
"Boston Celtics","2002-03","Bremer, J.R.",1,"2002-03","G"," Bremer",349458,349458,1,2,456568.5,1
"Cleveland Cavaliers","2003-04","Bremer, J.R.",1,"2003-04","G"," Bremer",563679,563679,2,2,456568.5,1
"Charlotte Hornets","2001-02","Brown, P.J.",7,"2002-03","F"," Brown",6404800,36000000,1,6,7668267,5
"New Orleans Hornets","2002-03","Brown, P.J.",7,"2002-03","F"," Brown",7044800,36000000,2,6,7668267,5
"New Orleans Hornets","2003-04","Brown, P.J.",4,"2006-07","F"," Brown",8000000,34000000,3,6,7668267,5
"New Orleans Hornets","2004-05","Brown, P.J.",4,"2006-07","F"," Brown",8000000,34000000,4,6,7668267,5
"New Orleans Hornets","2005-06","Brown, P.J.",4,"2006-07","C"," Brown",8000000,34000000,5,6,7668267,5
"Chicago Bulls","2006-07","Brown, P.J.",4,"2006-07","F-C"," Brown",8560000,34000000,6,6,7668267,5
"Toronto Raptors","2007-08","Giddens, J.R.",1,"2007-08","G"," Giddens",4516484,4516484,1,2,2736802,3
"Boston Celtics","2008-09","Giddens, J.R.",5,"2012-13","G"," Giddens",957120,8053278,2,2,2736802,3
"Chicago Bulls","2001-02","Guyton, A.J.",2,"2001-02","G"," Guyton",465850,793000,1,1,465850,2
"Golden State Warriors","2001-02","Henderson, Cedric E.",3,"2001-02","F"," Henderson",3000000,9000000,1,1,3000000,3
"Cleveland Cavaliers","2008-09","Hickson, J.J.",5,"2012-13","F"," Hickson",1329480,9999706,1,1,1329480,5
"Toronto Raptors","2006-07","Tucker , P.J.",1,"2006-07","G-F"," Tucker",412718,412718,1,1,412718,1
"Oklahoma City Thunder","2008-09","White, D.J.",5,"2012-13","F"," White",964080,8112118,1,1,964080,5
"Houston Rockets","2007-08","Brooks, Aaron",5,"2011-12","PG","Aaron Brooks",972720,6113436,1,2,1009140,5
"Houston Rockets","2008-09","Brooks, Aaron",5,"2011-12","G","Aaron Brooks",1045560,6113436,2,2,1009140,5
"Chicago Bulls","2007-08","Gray, Aaron",3,"2009-10","C","Aaron Gray",427163,1138680,1,2,569340,3
"Chicago Bulls","2008-09","Gray, Aaron",3,"2009-10","C","Aaron Gray",711517,1138680,2,2,569340,3
"Philadelphia 76ers","2001-02","McKie, Aaron",7,"2007-08","F-G","Aaron McKie",4000000,35500000,1,6,4000000,5.333333
"Philadelphia 76ers","2002-03","McKie, Aaron",7,"2005-06 (p)","F-G","Aaron McKie",4500000,38500000,2,6,4000000,5.333333
"Philadelphia 76ers","2003-04","McKie, Aaron",7,"2005-06 (p)","F-G","Aaron McKie",5000000,38500000,3,6,4000000,5.333333
